shift_id,staff_id,shift_date,shift_start,shift_end,ward
1,1,2026-09-24,14:00:00,22:00:00,General
2,1,2026-09-22,14:00:00,22:00:00,Emergency
3,1,2026-09-20,14:00:00,22:00:00,Emergency
4,1,2026-09-19,14:00:00,22:00:00,ICU
5,1,2026-09-18,14:00:00,22:00:00,Emergency
6,1,2026-09-16,14:00:00,22:00:00,Surgical
7,1,2026-09-15,14:00:00,22:00:00,Emergency
8,1,2026-09-13,14:00:00,22:00:00,Pediatric
9,1,2026-09-10,14:00:00,22:00:00,Emergency
10,1,2026-09-09,14:00:00,22:00:00,Maternity
11,1,2026-09-08,14:00:00,22:00:00,ICU
12,1,2026-09-06,14:00:00,22:00:00,Surgical
13,1,2026-09-05,14:00:00,22:00:00,ICU
14,1,2026-09-04,14:00:00,22:00:00,Maternity
15,1,2026-09-03,14:00:00,22:00:00,ICU
16,1,2026-09-02,14:00:00,22:00:00,General
17,1,2026-09-01,14:00:00,22:00:00,Maternity
18,1,2026-08-31,14:00:00,22:00:00,ICU
19,1,2026-08-30,14:00:00,22:00:00,Emergency
20,1,2026-08-29,14:00:00,22:00:00,Emergency
21,1,2026-08-28,14:00:00,22:00:00,ICU
22,1,2026-08-27,14:00:00,22:00:00,Pediatric
23,1,2026-08-26,14:00:00,22:00:00,Emergency
24,2,2026-09-24,14:00:00,22:00:00,Pediatric
25,2,2026-09-23,14:00:00,22:00:00,ICU
26,2,2026-09-22,14:00:00,22:00:00,Pediatric
27,2,2026-09-20,14:00:00,22:00:00,Maternity
28,2,2026-09-18,14:00:00,22:00:00,Surgical
29,2,2026-09-17,14:00:00,22:00:00,Maternity
30,2,2026-09-16,14:00:00,22:00:00,General
31,2,2026-09-15,14:00:00,22:00:00,ICU
32,2,2026-09-12,14:00:00,22:00:00,Maternity
33,2,2026-09-11,14:00:00,22:00:00,Emergency
34,2,2026-09-09,14:00:00,22:00:00,Surgical
35,2,2026-09-08,14:00:00,22:00:00,ICU
36,2,2026-09-07,14:00:00,22:00:00,ICU
37,2,2026-09-06,14:00:00,22:00:00,Emergency
38,2,2026-09-05,14:00:00,22:00:00,General
39,2,2026-09-04,14:00:00,22:00:00,Pediatric
40,2,2026-09-03,14:00:00,22:00:00,Maternity
41,2,2026-09-02,14:00:00,22:00:00,Surgical
42,2,2026-09-01,14:00:00,22:00:00,Emergency
43,2,2026-08-31,14:00:00,22:00:00,ICU
44,2,2026-08-30,14:00:00,22:00:00,Maternity
45,2,2026-08-29,14:00:00,22:00:00,General
46,2,2026-08-27,14:00:00,22:00:00,Maternity
47,3,2026-09-24,14:00:00,22:00:00,Surgical
48,3,2026-09-23,14:00:00,22:00:00,Emergency
49,3,2026-09-22,14:00:00,22:00:00,Maternity
50,3,2026-09-20,14:00:00,22:00:00,ICU
51,3,2026-09-19,14:00:00,22:00:00,General
52,3,2026-09-18,14:00:00,22:00:00,Emergency
53,3,2026-09-16,14:00:00,22:00:00,Emergency
54,3,2026-09-14,14:00:00,22:00:00,ICU
55,3,2026-09-11,14:00:00,22:00:00,Surgical
56,3,2026-09-09,14:00:00,22:00:00,Surgical
57,3,2026-09-08,14:00:00,22:00:00,Maternity
58,3,2026-09-07,14:00:00,22:00:00,ICU
59,3,2026-09-06,14:00:00,22:00:00,General
60,3,2026-09-05,14:00:00,22:00:00,Pediatric
61,3,2026-09-04,14:00:00,22:00:00,Maternity
62,3,2026-09-03,14:00:00,22:00:00,Surgical
63,3,2026-08-31,14:00:00,22:00:00,Emergency
64,3,2026-08-30,14:00:00,22:00:00,Surgical
65,3,2026-08-27,14:00:00,22:00:00,General
66,3,2026-08-26,14:00:00,22:00:00,Maternity
67,4,2026-09-24,22:00:00,06:00:00,General
68,4,2026-09-23,22:00:00,06:00:00,Surgical
69,4,2026-09-22,22:00:00,06:00:00,Emergency
70,4,2026-09-21,22:00:00,06:00:00,Surgical
71,4,2026-09-20,22:00:00,06:00:00,Emergency
72,4,2026-09-19,22:00:00,06:00:00,Surgical
73,4,2026-09-18,22:00:00,06:00:00,Surgical
74,4,2026-09-13,22:00:00,06:00:00,General
75,4,2026-09-12,22:00:00,06:00:00,ICU
76,4,2026-09-11,22:00:00,06:00:00,Surgical
77,4,2026-09-10,22:00:00,06:00:00,Surgical
78,4,2026-09-09,22:00:00,06:00:00,Pediatric
79,4,2026-09-07,22:00:00,06:00:00,General
80,4,2026-09-06,22:00:00,06:00:00,General
81,4,2026-09-03,22:00:00,06:00:00,ICU
82,4,2026-09-02,22:00:00,06:00:00,Emergency
83,4,2026-08-27,22:00:00,06:00:00,Emergency
84,4,2026-08-26,22:00:00,06:00:00,ICU
85,5,2026-09-24,06:00:00,14:00:00,Pediatric
86,5,2026-09-23,06:00:00,14:00:00,General
87,5,2026-09-22,06:00:00,14:00:00,Maternity
88,5,2026-09-19,06:00:00,14:00:00,General
89,5,2026-09-18,06:00:00,14:00:00,Surgical
90,5,2026-09-17,06:00:00,14:00:00,Surgical
91,5,2026-09-15,06:00:00,14:00:00,Surgical
92,5,2026-09-13,06:00:00,14:00:00,Emergency
93,5,2026-09-12,06:00:00,14:00:00,General
94,5,2026-09-11,06:00:00,14:00:00,ICU
95,5,2026-09-08,06:00:00,14:00:00,Surgical
96,5,2026-09-07,06:00:00,14:00:00,Surgical
97,5,2026-09-06,06:00:00,14:00:00,Surgical
98,5,2026-09-05,06:00:00,14:00:00,Surgical
99,5,2026-09-04,06:00:00,14:00:00,Maternity
100,5,2026-09-03,06:00:00,14:00:00,Emergency
101,5,2026-09-02,06:00:00,14:00:00,Pediatric
102,5,2026-08-31,06:00:00,14:00:00,ICU
103,5,2026-08-29,06:00:00,14:00:00,Emergency
104,5,2026-08-27,06:00:00,14:00:00,Pediatric
105,5,2026-08-26,06:00:00,14:00:00,Emergency
106,6,2026-09-24,14:00:00,22:00:00,Pediatric
107,6,2026-09-22,14:00:00,22:00:00,ICU
108,6,2026-09-21,14:00:00,22:00:00,Emergency
109,6,2026-09-20,14:00:00,22:00:00,General
110,6,2026-09-18,14:00:00,22:00:00,Maternity
111,6,2026-09-17,14:00:00,22:00:00,Maternity
112,6,2026-09-16,14:00:00,22:00:00,Maternity
113,6,2026-09-14,14:00:00,22:00:00,Emergency
114,6,2026-09-13,14:00:00,22:00:00,Maternity
115,6,2026-09-12,14:00:00,22:00:00,ICU
116,6,2026-09-11,14:00:00,22:00:00,Pediatric
117,6,2026-09-10,14:00:00,22:00:00,ICU
118,6,2026-09-09,14:00:00,22:00:00,General
119,6,2026-09-07,14:00:00,22:00:00,ICU
120,6,2026-09-06,14:00:00,22:00:00,ICU
121,6,2026-09-05,14:00:00,22:00:00,Surgical
122,6,2026-09-03,14:00:00,22:00:00,Maternity
123,6,2026-09-01,14:00:00,22:00:00,Maternity
124,6,2026-08-31,14:00:00,22:00:00,ICU
125,6,2026-08-30,14:00:00,22:00:00,General
126,6,2026-08-29,14:00:00,22:00:00,Surgical
127,6,2026-08-28,14:00:00,22:00:00,Emergency
128,6,2026-08-27,14:00:00,22:00:00,Emergency
129,6,2026-08-26,14:00:00,22:00:00,General
130,7,2026-09-24,14:00:00,22:00:00,Maternity
131,7,2026-09-23,14:00:00,22:00:00,Maternity
132,7,2026-09-22,14:00:00,22:00:00,Pediatric
133,7,2026-09-21,14:00:00,22:00:00,ICU
