med_id,total_dispensed,avg_dispense_qty,dispense_events,max_single_dispense,std_dispense_qty,name,stock,days_of_supply_left,anomaly_score,is_anomaly
1,376,19.789473684210527,19,50,13.681207497750014,Ibuprofen 1,327,52.180851063829785,1,False
2,158,22.571428571428573,7,49,17.765670480425097,Losartan 2,131,49.74683544303797,-1,True
3,252,21.0,12,50,15.637949179654425,ORS Sachets 3,198,47.14285714285714,1,False
4,384,27.428571428571427,14,45,10.818177620697815,Cetirizine 4,91,14.21875,1,False
5,421,26.3125,16,49,17.46126665890345,Omeprazole 5,312,44.465558194774346,1,False
6,390,30.0,13,45,14.300349646075091,Iron Folic Acid 6,393,60.46153846153846,1,False
7,375,25.0,15,50,13.60672102833218,Ceftriaxone 7,366,58.56,1,False
8,223,24.77777777777778,9,44,16.813519692332253,Cetirizine 8,397,106.81614349775785,1,False
9,191,23.875,8,49,15.273108954723565,Paracetamol 9,477,149.84293193717278,1,False
10,367,26.214285714285715,14,46,15.252634432872805,Losartan 10,463,75.69482288828338,1,False
11,354,29.5,12,46,13.365491522438058,Diclofenac Gel 11,244,41.35593220338983,1,False
12,118,16.857142857142858,7,30,9.839183086492689,Paracetamol 12,196,99.66101694915255,-1,True
13,447,27.9375,16,46,12.709412522483746,Salbutamol Inhaler 13,170,22.818791946308725,1,False
14,344,26.46153846153846,13,45,13.086987077598524,Ibuprofen 14,187,32.616279069767444,1,False
15,346,31.454545454545453,11,49,15.870498646001243,Atorvastatin 15,331,57.39884393063584,1,False
16,312,20.8,15,48,14.57590967511609,ORS Sachets 16,338,65.0,1,False
17,329,27.416666666666668,12,50,12.273092026005015,Salbutamol Inhaler 17,249,45.410334346504555,1,False
18,356,29.666666666666668,12,45,13.131041178225068,Omeprazole 18,12,2.0224719101123596,1,False
19,308,22.0,14,46,15.22649512678981,Ibuprofen 19,405,78.8961038961039,1,False
20,288,28.8,10,44,13.147031773158702,Ceftriaxone 20,494,102.91666666666667,1,False
21,321,21.4,15,50,14.569047424493572,Amoxicillin 21,207,38.69158878504673,1,False
22,230,25.555555555555557,9,42,13.911426159016832,Iron Folic Acid 22,76,19.82608695652174,1,False
23,400,28.571428571428573,14,49,12.95978564467962,Metformin 23,250,37.5,1,False
24,491,27.27777777777778,18,50,16.889974595305507,Amoxicillin 24,124,15.15274949083503,1,False
25,388,29.846153846153847,13,49,16.435967438548474,Amoxicillin 25,463,71.5979381443299,1,False
26,360,30.0,12,47,12.613124477737825,Ibuprofen 26,418,69.66666666666667,1,False
27,381,27.214285714285715,14,50,19.09562403125012,Azithromycin 27,32,5.039370078740157,1,False
28,382,27.285714285714285,14,48,16.582792617319047,ORS Sachets 28,166,26.073298429319372,1,False
29,364,33.09090909090909,11,45,10.153369346719792,Omeprazole 29,391,64.45054945054946,1,False
30,374,24.933333333333334,15,49,13.791646885326053,Insulin 30,140,22.459893048128343,1,False
31,390,27.857142857142858,14,46,14.16310017592923,Iron Folic Acid 31,84,12.923076923076923,1,False
32,174,21.75,8,47,14.409818081532366,Insulin 32,405,139.6551724137931,1,False
33,285,19.0,15,33,11.301074538037774,Paracetamol 33,450,94.73684210526316,-1,True
34,434,27.125,16,48,13.22560647632715,Ibuprofen 34,361,49.90783410138249,1,False
35,517,30.41176470588235,17,47,12.90861545407471,Diclofenac Gel 35,354,41.08317214700193,1,False
36,315,26.25,12,47,16.006390769144225,Vitamin D3 36,230,43.80952380952381,1,False
37,408,25.5,16,48,14.11854572303158,Amoxicillin 37,305,44.85294117647059,1,False
38,416,27.733333333333334,15,50,16.786332308784797,Atorvastatin 38,178,25.673076923076923,1,False
39,174,15.818181818181818,11,37,11.250050504937139,Insulin 39,271,93.44827586206897,-1,True
40,258,25.8,10,44,12.726175998922676,Iron Folic Acid 40,259,60.23255813953489,1,False
